draft	milestone	type	size	title	covers	justification	assigned
BLD-@six-machine-ci	V3	build	M	Run nightly CI on all six Tier 1 machines		V3 hardware scope: six Tier 1 machines fully tested each release, including NVIDIA. BLD schedules the nightly matrix LAB hosts.	BLD-069
BLD-@slsa-provenance-generation	V3	build	M	Emit SLSA-style build provenance from hermetic CI		REL GAP-0095 publishes SBOM plus signed provenance; BLD emits the provenance from the hermetic, no-network-after-fetch builder so attestations match actual CI.	BLD-070
BLD-@soak-ci-fleet	1.0	build	S	Run the 1.0 soak matrix on the Tier 1 fleet		1.0 exit: final RC soaked on the full Tier 1 fleet with zero open P0/P1. BLD keeps the qualification matrix green for the soak window; REL owns channel launch.	BLD-079
BLD-@spike-component-test-isolation	V1	spike	M	Spike Component and ResourceDomain isolation for parallel tests	GAP-0163	Once V0 primitives are stable, evaluate one Component per test as the isolation unit. Report must measure creation cost against BEN Component-creation B-IDs rather than claiming speedups.	BLD-050
BLD-@spike-linker-lto-pgo	V1	spike	M	Spike linker, LTO and PGO effects on binaries and benchmarks	GAP-0104	Must precede the linker adr. Measures lld versus mold, LTO scope and PGO against BEN §54 harnesses and bit-for-bit rebuilds so PGO cannot silently break reproducibility.	BLD-051
BLD-@ten-machine-ci	V4	build	M	Run nightly CI on at least ten Tier 1 machines		V4 hardware: at least ten named Tier 1 machines fully tested each RC. Extends six-machine-ci.	BLD-078
BLD-@test-results-dashboard	V1	build	M	Deploy a per-commit test-results database and dashboard	GAP-0121	KernelCI-style history, flake rate and duration per commit, configuration and machine. BEN owns the performance TSDB; this is pass/fail/flake for functional jobs.	BLD-052
BLD-@three-target-hardware-ci	V2	build	M	Run CI on the three V2 target machines		V2 hardware scope is exactly three named machines. Extends lab-ci-integration so nightly and qualification jobs cover AMD desktop, Intel laptop and AMD laptop.	BLD-058
BLD-@two-rebuilder-release	1.0	build	M	Reproduce the 1.0 image with two independent rebuilders	GAP-0093	1.0 exit: 100% of 1.0 SystemGeneration Packages reproduce bit-for-bit on two independent builders and a third party has reproduced the release image with published matching checksums.	BLD-080
BLD-@userspace-sanitizer-ci	V2	build	M	Run userspace sanitizer profiles for native Components in nightly CI		V0 sanitizer profiles boot the kernel; V2 desktop code needs ASAN/LSAN/TSAN (or equivalent) on native Components in nightly CI without exploding the pre-merge budget.	BLD-059
BLD-@virtio-gpu-qemu-matrix	V0.5	build	S	Add virtio-gpu QEMU configurations to the compositor CI matrix		V0.5 hardware scope: QEMU/KVM with virtio-gpu for compositor CI. Extends the V0 q35 matrix so GFX jobs have a GPU-less and virtio-gpu path.	BLD-028
BLD-@w1-nightly-gpu-capacity	V2	build	S	Provision GPU-equipped nightly capacity for the W1 corpus		V2 W1 gates need GPU lab jobs. WIN owns corpus and Wine suite; BLD sizes nightly GPU runners so those jobs are not starved by kernel QEMU.	BLD-060
BOOT-@anti-rollback-watermark	V3	build	M	Enforce the security-fix watermark in the bootloader per the anti-rollback decision	GAP-0207	Implements decide-anti-rollback: the signed manifest carries a watermark, the bootloader compares it against a monotonic counter, and behaviour follows the chosen policy with tests for each branch.	BOOT-038
BOOT-@bench-boot-rollback-time	V0.5	benchmark	S	Build the harness measuring reboot-into-previous-generation time and publish results		V0.5 benchmark gate 'generation switch and rollback time measured and published'; the boot-menu rollback segment is BOOT's metric (PKG owns the switch segment) and must live in the BEN register with a method.	BOOT-006
BOOT-@bench-boot-to-login	V1	benchmark	M	Build the boot-to-login timing harness and publish results beside Linux and Windows		V3 benchmark gate 'boot time to login on each Tier 1 machine measured and published'; critique #5 requires boot gap #74's numbers to live in the register with a method, so the harness exists from V1 on the desktop and Intel laptop.	BOOT-016
BOOT-@bench-preboot-unlock-time	V1	benchmark	S	Build the pre-boot unlock latency harness and publish results		Critique #5: the '< 500 ms unlock' figure from boot gap #74 must be a registered B-ID with a harness, not a milestone claim; measured from unlock submission to root pivot on both V1 machines.	BOOT-017
BOOT-@bls-entries-os-release	V3	build	S	Expose SystemGenerations to foreign bootloaders via BLS entries and an os-release descriptor	GAP-0402	Coexistence is bidirectional: os-prober and systemd-boot on a co-installed distro must list JakeOS generations or users assume the install failed.	BOOT-039
BOOT-@boot-chain-audit-fixes	V4	build	M	Close all High and Critical external-audit findings against the bootloader chain		V4 exit: external security audit (GOV GAP-0240 names the bootloader chain) with all High/Critical fixed and re-verified by the auditor.	BOOT-046
BOOT-@boot-counter-fallback	V1	build	L	Implement boot counting, bad-generation marking and unattended fallback to last known-good	GAP-0174,INV-0562,GAP-0175	§30 'if boot fails, boot the previous generation' needs a defined failure detector; includes the counter storage on the ESP/EFI variable and the capability-gated boot-success primitive that SVC's init reports through. Needed before V2's fault-injected rollback gate.	BOOT-018
BOOT-@boot-entry-format	V0.5	build	M	Define the on-disk boot-entry format mapping a menu entry to a SystemGeneration	GAP-0169	Fixed contract between bootloader (BOOT) and generation store (PKG): entry → generation ID, kernel image, verified store root hash, signed manifest; includes a Rust parser/writer crate and a golden-file compatibility test.	BOOT-007
BOOT-@boot-fallback-fault-test	V2	build	M	Fault-inject a broken SystemGeneration and verify unattended fallback on the three target machines	INV-0562,GAP-0174	V2 exit: a fault-injected broken update automatically boots the previous generation, tested on all three machines; adds the LAB-driven power-cycle harness reused by V3 and 1.0 gates.	BOOT-028
BOOT-@boot-fork-qemu-ovmf	V0	build	M	Boot the forked kernel on QEMU/KVM under OVMF from a CI-built image	INV-1154	V0 exit: kernel fork boots on QEMU/KVM from a CI-built image, reproducible from a tagged commit; QEMU/OVMF is the primary CI target.	BOOT-001
BOOT-@boot-fork-reference-desktop	V0	build	M	Boot the forked kernel on the reference AMD desktop from the tagged CI image	INV-1154	V0 exit and §59: boot on at least one physical reference machine; covers UEFI firmware quirks, serial console and power-cycle automation on the LAB rig.	BOOT-002
BOOT-@cmdline-signed-gate	V1	build	S	Embed the kernel command line in the signed SystemGeneration and test that edits fail verification	GAP-0177	Invariant covered by a test gate: the command line is part of the signed image, the boot-time editor is disabled outside developer mode, and CI proves a modified command line is rejected.	BOOT-019
BOOT-@decide-anti-rollback	V3	adr	S	Decide the anti-rollback policy for SystemGenerations older than a security watermark	GAP-0207	§30 first-class rollback and downgrade-attack protection are in direct tension; V3 public alpha exposes rollback to strangers. Options: block below watermark; allow with warning; allow only in developer mode.	BOOT-040
BOOT-@decide-boot-success	V1	adr	S	Decide what 'boot succeeded' means and which Component may clear the boot counter	GAP-0175	Too early lets a broken desktop mark itself good, too late breaks headless and recovery boots; SVC's init is the reporter. Options: session manager reached greeter; user authenticated; per-boot-mode profile (headless/recovery/desktop).	BOOT-020
BOOT-@decide-bootloader	V0.5	adr	S	Decide the bootloader: systemd-boot, GRUB or a native Rust UEFI stub	GAP-0167,GAP-0528	V0.5 exit requires an accepted adr for the generation switching mechanism; generation selection, boot counting and PCR policy all depend on this choice. Options: systemd-boot; GRUB; native Rust UEFI stub.	BOOT-008
BOOT-@decide-early-boot-store	V0.5	adr	S	Decide how early boot locates the content store and the selected SystemGeneration	GAP-0529	Generation booting only works if early boot finds immutable objects before trusting mutable state; pairs with SVC's early-userspace adr (GAP-0170). Options: initramfs-embedded locator; kernel command line parameters; bootloader-passed manifest.	BOOT-009
BOOT-@decide-early-time-trust	V1	adr	S	Decide the trusted time source policy before network time is available	GAP-0209	Certificate and signature validity checks at early boot need a clock trust policy. Options: bootloader-persisted monotonic floor; build-timestamp floor of the booted generation; RTC trusted with TPM-backed clock attestation.	BOOT-021
BOOT-@decide-esp-policy	V2	adr	S	Decide ESP policy: reuse the existing OEM ESP or create a dedicated ESP for generation entries	GAP-0400	V2 target laptops ship Windows-created 100 MB ESPs and V3's dual-boot installer (INS) depends on the layout; decided at V2 so INS can build on it. Options: reuse existing ESP with compact entries; dedicated ESP; reuse with XBOOTLDR-style extended partition.	BOOT-029
BOOT-@decide-firmware-update-atomicity	V2	adr	S	Decide atomicity of kernel, driver and firmware updates within a SystemGeneration	INV-0567	§30 rollback conflicts with firmware that cannot be rolled back; the adr defines what a generation guarantees and what is recorded as irreversible in §31 history (cross-ref HW). Options: firmware outside generations; firmware staged with the generation and flagged irreversible; firmware applied only after boot-success.	BOOT-030
BOOT-@decide-gplv3-boot-chain	V0.5	adr	S	Decide whether GPLv3 components may appear in the boot chain and how Installation Information is met	GAP-0020	Secure/measured boot plus GPLv3 (GRUB, gnupg) triggers anti-tivoization obligations; must be settled alongside decide-bootloader. Options: no GPLv3 in the boot chain; GPLv3 permitted with user-enrollable Secure Boot keys as Installation Information; GPLv3 only in developer mode images. The base-image half (coreutils, bash) is GOV licensing policy.	BOOT-010
BOOT-@decide-secure-boot-strategy	V2	adr	M	Decide Secure Boot distribution: Microsoft-signed shim, enrolled project keys, or both	GAP-0179,GAP-0326,GAP-0403	Most retail hardware ships only Microsoft keys and dual-boot machines must keep Windows Secure Boot and BitLocker functional; V3 exit requires Secure Boot on all Tier 1 machines so the strategy is fixed at V2. Options: shim + MOK; user-enrolled PK/KEK/db; both.	BOOT-031
BOOT-@decide-uefi-only	V0	adr	S	Decide UEFI-only boot on x86-64 with no legacy BIOS/CSM support through 1.0	GAP-0166,GAP-0478	Standing non-goal covered by the adr that decides it; must precede the V0 reference-desktop boot so no BIOS path is ever built or tested. Options: UEFI-only; UEFI plus CSM; UEFI now with BIOS revisit at V3.	BOOT-003
BOOT-@decide-unified-kernel-image	V0.5	adr	S	Decide whether each SystemGeneration boots as one signed UKI or separately verified parts	GAP-0168	The image format must be fixed before the generation store layout (PKG) and boot-entry format are frozen; determines Secure Boot signing units and PCR predictability. Options: single signed UKI; kernel + separately verified initramfs and command line; UKI with detached add-ons.	BOOT-011
BOOT-@decide-v0-boot-strategy	V0	adr	S	Decide V0 boots Linux init from a retained initramfs with native Components beside it	EXTRA-046,INV-0120	Critique contradiction #2: the V0 exit 'boots to a native init' conflicts with §5.1 Phase A; the adr fixes V0 = retained Linux boot and initramfs handoff with native Components started beside init, native init deferred to V0.5 (SVC). Options: retained initramfs + Linux init; native init at V0; hybrid stub init.	BOOT-004
BOOT-@developer-mode	V1	build	L	Ship documented developer mode: own Secure Boot keys, self-built kernels, visible indicator	GAP-0178	V1 self-hosting requires booting self-built kernels; developer mode enrols owner keys, disables lockdown and exposes a non-suppressible state that APP's shell renders as a persistent indicator; includes the enrolment guide.	BOOT-022
BOOT-@early-boot-store-mount	V0.5	build	L	Mount the content store read-only in early boot and hand off to native init	GAP-0529	Implements decide-early-boot-store: early userspace locates the store and selected generation, mounts immutably, and hands off to SVC's native init so the cold-boot-to-native-desktop demo starts from a SystemGeneration.	BOOT-012
BOOT-@early-entropy-seed	V1	build	M	Seed the kernel RNG at boot from TPM, CPU RNG and a bootloader-persisted seed	GAP-0209	First-boot disk unlock, TLS and signature checks depend on early entropy; the bootloader persists and refreshes a seed on the ESP and the kernel credits TPM and RDSEED sources.	BOOT-023
BOOT-@efivars-capability	V1	build	M	Gate UEFI variable and firmware-settings access behind a Capability with no ambient efivarfs	GAP-0204	§9 no ambient authority; writable efivars can brick firmware or alter Secure Boot state; a typed firmware-variable service replaces ambient efivarfs for native Components and a denial test is added.	BOOT-024
BOOT-@esp-atomic-update	V1	build	M	Make bootloader and ESP updates atomic with tested rollback of the bootloader itself	GAP-0176	An interrupted bootloader update is the one failure generations cannot roll back from; dual-slot or write-then-rename with a power-cut test in QEMU is required before the V1 signed-repository update path ships.	BOOT-025
BOOT-@esp-generation-retention	V0.5	build	M	Manage ESP space so at least N previous SystemGeneration kernels stay bootable		1.0 definition (3) requires N ≥ 3 previous generations bootable and the V0.5 exit requires the previous kernel selectable at boot; per-generation kernel images on the ESP need retention, garbage collection and out-of-space handling.	BOOT-013
BOOT-@foreign-bootloader-coexistence	V3	build	L	Chain-load Windows Boot Manager and foreign Linux loaders and self-heal BootOrder	GAP-0401	V3 installer supports dual boot (INS GAP-0208); Windows updates rewrite BootOrder and bootx64.efi, so the boot chain must chain-load foreign loaders and repair its own entries on next boot.	BOOT-041
BOOT-@generation-boot-menu	V0.5	build	L	Present previous SystemGenerations in the boot menu with automated boot-menu selection test	INV-0561	V0.5 exit: selecting the previous generation at boot restores the previous kernel, compositor and packages, verified by an automated boot-menu test on QEMU (serial/firmware-driven selection) and the reference desktop.	BOOT-014
BOOT-@generation-verity-verify	V2	build	M	Verify SystemGeneration images at boot against their content hashes via the boot-entry root	INV-0569	§26 integrity verification and §27 content addressing: the verified store root hash in the boot entry drives dm-verity on the generation image; a tampered image must fail closed.	BOOT-032
BOOT-@initramfs-native-launch	V0	build	M	Retain the Linux initramfs handoff and launch native Components beside Linux init	INV-0120,EXTRA-046	§5.1 preserve boot initially; implements decide-v0-boot-strategy so the V0 demos (Component A/B, busybox and L0 corpus side by side) start from one retained initramfs.	BOOT-005
BOOT-@integrity-failure-ux	V2	build	M	Design and build the integrity-failure experience with a guaranteed recovery path	GAP-0206	Verity, PCR or signature failures after firmware changes are inevitable; the user sees a diagnosis, can enter the recovery boot entry, and no path silently bypasses verification; INS owns the recovery environment itself.	BOOT-033
BOOT-@key-rotation-boot-drill	V4	build	M	Rehearse signing-key rotation and SBAT revocation through the boot chain on the testing channel		V4 exit: signing key rotation drill executed on the testing channel without breaking updates; the bootloader must accept rotated db/MOK certificates and revoked SBAT generations while keeping previous generations bootable.	BOOT-047
BOOT-@measured-boot-pcr	V2	build	L	Extend kernel, command line, generation ID and verity root into TPM PCRs with signed PCR policies	GAP-0191	Without predictable PCR policy every update strands sealed disk keys; ships signed expected PCR values per generation so SEC's re-seal (GAP-0199) and TPM service (GAP-0192) can keep unlock working across updates.	BOOT-034
BOOT-@preboot-unlock-graphical	V2	build	M	Build the graphical DPI-aware pre-boot unlock UI	GAP-0197	GAP-0197 specifies graphical, DPI-aware unlock at V2 for the polished desktop on three target machines, including HiDPI laptop panels.	BOOT-035
BOOT-@preboot-unlock-text	V1	build	L	Build the text pre-boot unlock UI with passphrase, TPM+PIN, recovery key and layouts	GAP-0197	V1 scope allows manually configured encryption; unlock must work before the compositor exists with multiple enrolled slots and keyboard layout selection; consumes SEC's sealing design.	BOOT-026
BOOT-@reproducible-boot-images	V4	build	M	Make UKI and bootloader images reproduce bit-for-bit with deterministic signing layout		V4 exit: 100% of system-generation packages reproduce on two independent builders; PE assembly and embedded Authenticode signatures need deterministic layout or detached verification for BLD's verifier to pass.	BOOT-048
BOOT-@rollback-guarantee-tier1	1.0	build	M	Verify the update and rollback guarantee by fault injection on every Tier 1 machine	INV-0562,GAP-0174	1.0 exit: on every Tier 1 machine a fault-injected failing generation boots back automatically, N ≥ 3 generations remain bootable, and a power pull mid-update recovers; the release ceremony demo depends on it.	BOOT-049
BOOT-@secure-boot-docs	V3	docs	S	Document the Secure Boot key or shim path, developer mode and recovery for public alpha users	GAP-0178,GAP-0206	V3 exit requires Secure Boot 'using the documented key or shim path' and public install documentation good enough for strangers; covers key enrolment, MOK prompts, developer mode and integrity-failure recovery.	BOOT-042
BOOT-@secure-boot-tier1-verify	V3	build	M	Verify Secure Boot and measured-boot event-log recording on every Tier 1 machine	GAP-0191,GAP-0326	V3 exit: all Tier 1 machines boot with Secure Boot on and measured boot records generation identity in the TPM event log, verified; the matrix extends to ten machines at V4 and is re-run each RC.	BOOT-043
BOOT-@shim-mok-boot-chain	V3	build	L	Integrate shim and MOK enrolment into the signed boot chain per the Secure Boot strategy	GAP-0179,GAP-0326,GAP-0021	V3 exit: Tier 1 machines boot with Secure Boot enabled using the documented shim or key path; wires shim, MOK enrolment of the project certificate and SBAT metadata into the bootloader and UKI build.	BOOT-044
BOOT-@shim-submission-plan	V2	docs	S	Plan the shim-review submission, legal applicant and re-signing process	GAP-0021	V3 risk 'shim requires an external review process with uncertain timelines'; the plan (applicant entity, review-board requirements, SBAT and re-signing per shim change) must exist at V2 so REL can run the submission (GAP-0180) in time for V3.	BOOT-036
BOOT-@sign-generation-manifest	V1	build	M	Verify the release-key signature of every SystemGeneration manifest before offering it	GAP-0172	Root of trust for the immutable generation model; V1 exit 'packages signed, verified before activation' and the V1 adr on package signing and trust roots; consumes REL's key hierarchy decision (GAP-0322, V0.5).	BOOT-027
BOOT-@spike-bootloader-candidates	V0.5	spike	M	Prototype systemd-boot+UKI and a Rust UEFI stub booting a SystemGeneration from the store	GAP-0167,GAP-0528	Precedes decide-bootloader; §57 forbids rewriting a mature piece without demonstrated benefit, so the adr needs measured evidence (generation selection, Secure Boot chain, PCR measurement, ESP footprint) from both candidates on QEMU/OVMF.	BOOT-015
BOOT-@uefi-capsule-staging	V2	build	M	Stage UEFI capsule updates on the ESP within a generation transition with PCR re-seal hooks	INV-0567	Boot-chain side of HW's firmware update service: capsules are staged on the ESP, applied by firmware at reboot, and the boot chain triggers SEC re-seal before and after; implements decide-firmware-update-atomicity.	BOOT-037
CAP-@ai-action-revocation	V2	build	M	Make AI action Capabilities revocable mid-run with a logged action graph	INV-0828	V2 exit criterion: AI demo with the full action graph logged and one step revoked mid-run. Must depend on SEM's semantic registry task (§57: no AI before the semantic object model).	CAP-041
CAP-@ambient-authority-lint	V0.5	build	S	Lint native SDK and system Components for ambient authority and descriptor-shaped APIs	INV-0042,INV-0200,INV-0036	Standing invariants enforced by a CI lint: no native SDK entry opens objects by ambient path or fd-shaped handle, no system Component is launched with a wildcard set; first matters when the four V0.5 apps and SDK expand.	CAP-016
CAP-@background-execution-capability	V0.5	build	M	Gate persistent background execution behind Capability<BackgroundExecution>	INV-0391	§21: persistent background execution beyond the owning application requires an explicit capability; V0.5 introduces services and applications that outlive windows. TSK owns TaskGroup lifetime, CAP defines the type and check.	CAP-017
CAP-@bench-capability-operations	V0.5	benchmark	M	Benchmark Capability mint, derive, transfer and revocation cost		BEN anti-fake-claim policy (§53): decide-revocation-semantics states cost bounds that must be measured in CI, and the V0.5 gate re-runs all benchmarks with regression checks; publish-only, no target.	CAP-018
CAP-@capability-audit-export	V1	build	M	Export Capability audit events for the permissions log viewer and os trace		V1 scope excludes 'Permissions UI beyond a log viewer', so a log viewer is in scope and needs structured audit export; V1 exit requires `os trace` session export.	CAP-030
CAP-@capability-audit-log	V0	build	M	Record Capability grants, derivations, revocations and denials in the audit log		V0 scope line 'Capability<T>: creation, derivation, attenuation, transfer over channels, revocation, audit log (CAP)' and the V0 isolation demo 'typed denial visible in the audit log'; §7 lists auditable as a Capability property.	CAP-001
CAP-@capability-audit-remediation	V4	build	M	Close external audit findings in Capability enforcement		V4 exit criterion: external security audit of kernel capability enforcement with all High/Critical findings fixed and re-verified.	CAP-050
CAP-@capability-conformance-suite	V4	build	M	Complete conformance tests for every frozen Capability entry point		V4 exit criterion: every L1 entry point has a conformance test and binaries built against the freeze candidate run on every subsequent build.	CAP-051
CAP-@capability-freeze-candidates	V1	build	M	Declare Capability L1 surfaces freeze candidates with conformance tests		Ladder V1: L1 freeze candidates with SDK v1; critique forbids freezing in V0 and requires spikes in the closure of every freeze. Depends on spike-cheri-abi-validation and formal-capability-model.	CAP-031
CAP-@capability-freeze-verification	V4	spike	M	Re-validate the frozen Capability ABI on CHERI emulator and formal model	GAP-0487,GAP-0488	V4 freezes L1; GAP-0487 demands validation of the frozen ABI on a CHERI emulator and GAP-0488 the formal model before freeze; this precedes the freeze ADR (ABI).	CAP-052
CAP-@capability-fuzz-targets	V2	build	S	Add Capability forge, type-confusion and derivation fuzz targets		V3 gate requires continuous kernel fuzzing with no crasher older than 14 days and V4 requires 30 days; capability-specific targets must be seasoned before V3, so they are added at V2 into BLD's fuzzing infrastructure.	CAP-042
CAP-@capability-inspect	V0	build	S	Expose Capability type, rights and object identity to holders and os inspect	INV-0182	V0 exit criterion requires `os inspect capability` to print state, ownership and relationships; OBS owns the CLI, CAP provides the query surface for a holder's own Capabilities.	CAP-002
CAP-@capability-mint-derive	V0	build	M	Implement Capability mint and attenuating derive with rights monotonicity tests	INV-1158,INV-0181,INV-0184	V0 exit criterion: Capability<File, ReadWrite> derives Capability<File, Read>; deriving Admin fails with a typed error; regression test retained permanently.	CAP-003
CAP-@capability-property-tests	V0.5	build	M	Write property-based tests for Capability unforgeability, typing and attenuation	GAP-0131,INV-0177,INV-0178,INV-0184,INV-0200	Standing invariants (unforgeable, typed, attenuation never widens, revocation complete, no ambient authority) enforced by one property/model-based suite rather than one task per rule; forged-handle test satisfies the V0 exit criterion.	CAP-019
CAP-@capability-reference-docs	V3	docs	M	Document every Capability object type and right for the Layer 1 reference		V3 exit criterion: 100% of Layer 1 ABI entry points have reference pages; 1.0 definition requires every capability right documented. DOC owns generation, CAP authors the content via object-rights-registry.	CAP-046
CAP-@capability-revocation	V0	build	L	Implement Capability revocation invalidating all derived Capabilities	INV-0180,INV-0187,INV-1158	V0 exit criterion: revoking a Capability makes every derived Capability fail within one Operation at derivation depth 8. Depends on decide-revocation-semantics.	CAP-004
CAP-@capability-stability-statement	1.0	docs	S	Publish the Capability model guarantees and non-promises for 1.0		1.0 exit criterion: ABI stability statement and explicit non-promises, including that CHERI-class hardware enforcement is not promised, only ABI room (ladder 1.0 scope out).	CAP-053
CAP-@capability-table-core	V0	build	L	Implement the kernel Capability object and per-Component Capability table	INV-0050,INV-0113,INV-0173,INV-0174,INV-0178,INV-0223,INV-0951,INV-1315,INV-1325	Kernel-owned enforcement: every object access resolves a typed handle through the holder's table, type mismatch fails at the kernel boundary with a typed error. Required by V0 exit criteria for Component creation with capabilities and forge/type failures.	CAP-005
CAP-@capability-transfer	V0	build	L	Implement Capability transfer over Channels and at Component creation	INV-0179,INV-0998,INV-1158	Crosses IPC (capability-carrying message slots) and CMP (explicit set attached at creation, native isolation path step 3). Required by the V0 §59 demo where B transfers a MemoryObject Capability back to A.	CAP-006
CAP-@debug-attach-capabilities	V1	build	L	Model debugger attach, tracing and memory reading as explicit Capabilities	GAP-0189	V1 native debugger attaches to a Component and LNX ptrace-equivalent (critique: V1) must be gated by an explicit debug Capability rather than same-user checks; crosses SDK, OBS and LNX.	CAP-032
CAP-@decide-capability-persistence	V0.5	adr	M	Decide Capability persistence across Component restart and reboot	GAP-0486,INV-0491	Single decision: sturdy references vs revocable persistent grant store vs re-prompt, and which object types may ever persist. Must precede the V1 persistent-grant-store and V2 grant continuity; depends on spike-capability-os-survey.	CAP-020
CAP-@decide-cross-machine-unforgeability	V3	adr	S	Decide how Capability unforgeability survives machine boundaries	INV-0817	Answers the §43 question (cryptographic capabilities vs sturdy references vs proxies) so the ABI does not foreclose it; distributed interfaces themselves remain LATER and outside 1.0.	CAP-047
CAP-@decide-grant-sources	V0	adr	S	Decide explicit grant sources replacing ambient permissions	INV-0076,INV-0042,INV-0200	Single decision: the sources of a Component's authority (creator at launch, user choice via chooser, Package manifest request) so V0 components receive exactly what they are handed. SEC's V0.5 grant-taxonomy ADR refines the taxonomy on top of this.	CAP-007
CAP-@decide-handle-representation	V0	adr	M	Decide the userspace Capability<T> handle representation and table design	GAP-0483,INV-0072,INV-0036,INV-0188,INV-0714	Single decision: how a Capability<T> is represented to userspace and laid out in the per-Component table, replacing file descriptors and reserving room for hardware enforcement. Depends on spike-handle-representation, spike-cheri-escape-hatches and spike-sel4-capability-study; the ABI shape ADR must depend on this. S-state prototyped only, no freeze in V0.	CAP-008
CAP-@decide-hardware-capability-mapping	V1	adr	S	Decide the Capability<T> and MemoryObject mapping onto hardware capabilities	INV-0719,INV-0190	Single decision recording the CHERI/Morello and tagged-memory findings as the mapping the ABI must remain compatible with; depends on the two V1 spikes.	CAP-033
CAP-@decide-hardware-readiness	V0.5	adr	S	Decide the ABI invariants required for hardware-assisted Capability enforcement	INV-0199,INV-0196,INV-0188	Single decision: the list of ABI invariants (handle opacity, no pointer-derived identity, rights in the object not the handle, etc.) that keep application-visible Capabilities stable across kernel-metadata, page-table, tag or CHERI enforcement. Depends on spike-cheri-pointer-mapping and spike-cheri-escape-hatches.	CAP-021
CAP-@decide-revocation-semantics	V0	adr	S	Decide revocation semantics: eager vs lazy, in-flight Operations, cost bounds	INV-0187,GAP-0484	Answers the INV-0187 question and chooses the strategy from spike-revocation-strategies; the V0 exit criterion (depth-8 revocation within one Operation) cannot be implemented without it. Coordinates with TSK on cancelling in-flight Operations.	CAP-009
CAP-@decide-rights-encoding	V0	adr	S	Decide rights and transfer-rights encoding including Admin authority	INV-0185,INV-0175,INV-0176	Single decision: bitmask vs per-type typed rights vs rights objects, and how Admin and transfer/delegation rights are expressed. Required by the V0 exit criterion listing capability encoding among accepted ADRs; state prototyped per critique.	CAP-010
CAP-@decide-service-discovery	V0.5	adr	S	Decide how a Component obtains its initial and later Capabilities	GAP-0485	Namespace object vs broker Component vs manifest static wiring must be decided before SVC supervision and rebind (V0.5) so services do not invent bootstrap protocols; V0 demo rebinding to a restarted B exercises the initial handoff.	CAP-022
CAP-@discovery-namespace-service	V0.5	build	L	Implement the Capability discovery namespace decided in the service discovery ADR	GAP-0485	V0.5 native init and compositor crash-rebind (SVC) need a defined way for components to obtain later Capabilities; implements decide-service-discovery.	CAP-023
CAP-@enforcement-backend-abstraction	V1	build	L	Abstract Capability enforcement behind a kernel backend interface	INV-0197,INV-0196	Kernel-metadata backend today, hardware later; must exist before freeze candidates are declared so the abstraction is exercised by the conformance tests.	CAP-034
CAP-@formal-capability-model	V1	build	L	Build a machine-checked model of Capability derivation, transfer and revocation	GAP-0488	Formal model must exist before freeze candidates (V1) and is re-checked at the V4 freeze; depends on spike-formal-tooling; model checking runs in CI.	CAP-035
CAP-@grant-continuity-publisher	V2	build	M	Key persistent grants on Package identity and publisher, revoke on publisher change	EXTRA-018	Critique missing requirement 18; V2 store client and update flows would otherwise drop grants on every update. Depends on persistent-grant-store and PKG signing identity.	CAP-043
CAP-@graph-capability-lint	V0.5	build	S	Lint Component graph descriptions for explicit per-Component Capability sets	INV-0235	Standing invariant (§11) enforced by lint over CMP graph descriptions: every Component in a graph declares its Capability set and receives nothing else; first matters when component graphs arrive at V0.5.	CAP-024
CAP-@manifest-grant-binding	V0.5	build	M	Attach only the granted Capability set to a launched Component	INV-0076,INV-0200,INV-0042	V0.5 exit criterion: Image Viewer starts with UI and GPU Capabilities only and cannot open other files. Implements decide-grant-sources at launch time over PKG's manifest and SEC's grant taxonomy; the launcher passes the resolved set to CMP creation.	CAP-025
CAP-@object-rights-registry	V1	build	M	Register typed rights and Admin authority for every kernel object type		V1 introduces NetworkConnection, AudioStream, Surface and Device object types (NET, AUD, GFX, HW); §7 requires per-type rights and a lint fails when a new object type lacks a rights declaration, scaling decide-rights-encoding.	CAP-036
CAP-@one-time-grants	V3	build	M	Implement one-time and time-bounded Capability grants with per-application history		V3 scope: Permissions UI v2 including per-application audit history and one-time grants; V3 exit requires converting a grant to one-time.	CAP-048
CAP-@per-user-grant-stores	V3	build	M	Isolate persistent grant stores per user session		V3 exit criterion: two users with separate sessions, separate capability stores and separate encrypted data.	CAP-049
CAP-@persistent-grant-store	V1	build	M	Implement the revocable persistent grant store with user revocation	GAP-0486,INV-0491	V1 daily-driving requires editors to retain user-selected files across restarts; implements decide-capability-persistence including recent-files and revocation.	CAP-037
CAP-@revocation-immediacy-matrix	V2	build	M	Test immediate revocation across camera, microphone, files, network and screen capture		V2 exit criterion: Permissions UI revocation takes effect immediately, tested with camera, microphone, files, network and screen capture; CAP owns the cross-object-type revocation test matrix that SEC's UI drives.	CAP-044
CAP-@rights-transfer-encoding	V0	build	M	Implement rights and transfer-rights checks on every Capability Operation	INV-0175,INV-0176	Implements the decide-rights-encoding ADR: each Operation on an object checks the holder's rights and each transfer checks delegation rights. Depends on decide-rights-encoding.	CAP-011
